area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Built-up  Area,21-Dec,2 BHK,GrrvaGr,900,2.0,1.0,41.0,Shukrawar Peth
Super built-up  Area,19-Dec,4 BHK,GrrvaGr,2690,4.0,2.0,185.0,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1340,2.0,2.0,65.0,Somwar Peth
Plot  Area,18-Sep,4 Bedroom,Prood G,2940,3.0,2.0,225.0,Swargate
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,2400,4.5,1.0,225.0,Tilak Road
Plot  Area,Immediate Possession,2 BHK,SRniaGa,2324,2.0,2.0,26.73,Uruli Devachi
Super built-up  Area,19-Dec,2 BHK,Goues A,1260,2.0,2.0,59.2,Vadgaon Budruk
Super built-up  Area,21-Feb,3 BHK,Sodgere,2254,3.0,2.0,153.0,Wadgaon Sheri
Super built-up  Area,Ready To Move,3 BHK,Brica E,2990,4.5,1.0,210.0,Viman Nagar
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,1800,4.5,1.0,225.0,Vishrant Wadi
Built-up  Area,Ready To Move,2 BHK,Adaveth,820,2.0,1.0,45.0,Wagholi
Super built-up  Area,Ready To Move,2 BHK,Naireru,1296,2.0,2.0,65.0,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1190,2.0,1.0,53.55,Wanowrie
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1173,2.0,1.0,77.0,Warje
Plot  Area,16-Dec,3 Bedroom,GrrvaGr,1800,3.0,2.0,90.0,Yerawada
Built-up  Area,Ready To Move,2 BHK,Rarthne,1102,2.0,0.0,52.0,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,913,2.0,1.0,36.0,Ambegaon Budruk
Super built-up  Area,18-Apr,3 BHK,GrrvaGr,1176,2.0,1.0,35.27,Anandnagar
Built-up  Area,Ready To Move,3 BHK,Srllaan,1620,3.0,2.0,65.0,Aundh
Super built-up  Area,Ready To Move,3 BHK,PuhtsHe,2968,3.0,2.0,225.0,Aundh Road
Super built-up  Area,17-Dec,2 BHK,Hotat H,1519,2.0,3.0,65.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Saageat,1345,2.0,2.0,106.0,Baner
Super built-up  Area,19-Dec,3 BHK,Prard B,1594,3.0,2.0,99.0,Baner road
Super built-up  Area,Ready To Move,2 BHK,SLarkic,1250,2.0,1.0,68.0,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,Zostaa ,1056,2.0,1.0,60.0,Bhavani Peth
Plot  Area,18-Dec,3 Bedroom,GrrvaGr,1200,3.0,1.0,68.4,Bibvewadi
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1290,1.0,0.0,77.5,Bopodi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1150,2.0,1.0,48.0,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,RMcesa ,1464,2.0,1.0,145.0,Bund Garden Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,2.0,1.0,36.0,Camp
Built-up  Area,Ready To Move,2 BHK,Mauner ,861,2.0,0.0,36.5,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Dieldli,1047,2.0,1.0,82.62,Dapodi
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,0.0,75.0,Deccan Gymkhana
Plot  Area,Ready To Move,10 Bedroom,GrrvaGr,1200,4.5,2.0,190.0,Dehu Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1065,2.0,1.0,45.0,Dhankawadi
Built-up  Area,Ready To Move,3 BHK,PhestOn,2300,3.0,3.0,225.0,Dhayari Phata
Super built-up  Area,Ready To Move,2 BHK,JSonyar,1000,2.0,1.0,62.0,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1682,3.0,1.0,113.0,Erandwane
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1756,3.0,2.0,131.0,Fatima Nagar
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,4000,4.0,2.0,225.0,Fergusson College Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,1050,4.0,2.0,90.0,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1238,2.0,1.0,67.32,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,Tavenew,814,2.0,1.0,42.0,Ghorpade Peth
Built-up  Area,Ready To Move,2 BHK,GSodsee,1145,2.0,1.0,46.5,Ghorpadi
Super built-up  Area,Ready To Move,2 BHK,Maita R,965,2.0,1.0,34.0,Gokhale Nagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,750,2.0,1.0,36.0,Gultekdi
Built-up  Area,Ready To Move,3 BHK,V2anags,1300,2.0,2.0,55.0,Guruwar peth
Super built-up  Area,18-May,3 BHK,Inntsth,1590,3.0,3.0,131.0,Hadapsar
Super built-up  Area,20-Aug,1 BHK,Pruthg ,644,1.0,1.0,40.0,Hadapsar Industrial Estate
Super built-up  Area,18-Mar,2 BHK,Pranthi,982,2.0,1.0,37.0,Hingne Khurd
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1260,2.0,2.0,100.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,MJeusyl,1555,3.0,2.0,75.17,Kalyani Nagar
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,2500,4.0,1.0,225.0,Karve Nagar
Super built-up  Area,18-Aug,2 BHK,GrrvaGr,1225,2.0,2.0,48.0,Karve Road
Super built-up  Area,Ready To Move,2 BHK,PisomSu,1085,2.0,1.0,46.0,Kasba Peth
Super built-up  Area,Ready To Move,3 BHK,Brway G,1640,3.0,2.0,220.0,Katraj
Built-up  Area,18-Aug,3 BHK,Bhmesy ,1595,3.0,1.0,110.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1196,2.0,2.0,40.44,Khadki
Super built-up  Area,18-Mar,3 BHK,Miitat ,1859,3.0,1.0,108.0,Kharadi
Super built-up  Area,21-Sep,2 BHK,Vasisvi,1079,2.0,1.0,60.0,Kondhwa
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,550,1.0,1.0,27.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,Satanan,1118,2.0,1.0,42.0,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,Roareta,1198,2.0,2.0,60.0,Koregaon Park
Super built-up  Area,18-Jun,3 BHK,SuVue S,1100 - 1225,2.0,2.0,30.215,Kothrud
Super built-up  Area,Ready To Move,3 BHK,Prtanha,1830,4.0,2.0,135.0,Law College Road
Super built-up  Area,20-Oct,2 BHK,Brens7 ,1160,2.0,1.0,59.0,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1485,2.0,1.0,156.0,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,Emsic C,2070,3.0,3.0,135.0,Mahatma Gandhi Road
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,750,4.0,1.0,150.0,Mangalwar peth
Built-up  Area,17-Mar,2 BHK,VBownre,957,2.0,0.0,52.5,Manik Bagh
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,2400,4.0,1.0,225.0,Market yard
Super built-up  Area,18-Dec,2 BHK,Uncioe ,1268,2.0,1.0,69.0,Model colony
Super built-up  Area,Ready To Move,3 BHK,SNity S,1450,2.0,2.0,87.0,Mukund Nagar
Built-up  Area,Ready To Move,3 BHK,Bhncy V,1600,2.0,2.0,75.0,Mundhawa
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1330,2.0,1.0,57.0,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,Paurt C,1355,2.0,2.0,65.0,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1272,2.0,2.0,51.5,Narayan Peth
Super built-up  Area,Ready To Move,2 BHK,SSaveik,1100,2.0,1.0,38.49,Narayangaon
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1220,3.0,2.0,58.0,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1075,2.0,1.0,46.76,Padmavati
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,800,2.0,1.0,55.0,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,995,2.0,1.0,34.82,Pashan
Built-up  Area,Ready To Move,2 BHK,Nentsan,900,1.0,1.0,44.0,Paud Road
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1140,2.0,1.0,42.0,Pirangut
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1480,2.0,2.0,125.0,Prabhat Road
Super built-up  Area,18-May,3 BHK,GrrvaGr,1710,2.0,2.0,90.63,Pune Railway Station
Super built-up  Area,21-Dec,3 BHK,Sodgere,2106,3.0,3.0,148.0,Rasta Peth
Plot  Area,Ready To Move,9 Bedroom,GrrvaGr,2400,4.5,2.0,225.0,Raviwar Peth
Plot  Area,Ready To Move,3 Bedroom,K ensad,3800,2.0,2.0,130.0,Sadashiv Peth
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,800,3.0,2.0,120.0,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,RookaJh,1602,2.0,2.0,104.0,Salunke Vihar
Super built-up  Area,Ready To Move,3 BHK,DSndsod,1660,2.0,2.0,116.0,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,SJmesst,1549,3.0,2.0,80.0,Satara Road
Super built-up  Area,19-Mar,1 BHK,Unezes ,700,1.0,1.0,38.0,Senapati Bapat Road
Super built-up  Area,18-Dec,2 BHK,Soresea,1012,2.0,1.0,64.0,Shaniwar Peth
Super built-up  Area,19-Dec,3 BHK,PrensKe,1469,3.0,1.0,89.0,Shivaji Nagar
Super built-up  Area,18-Aug,2 BHK,Prtates,1216,2.0,1.0,69.0,Shukrawar Peth
Super built-up  Area,Ready To Move,2 BHK,Brods W,1065,2.0,1.0,56.13,Sinhagad Road
Super built-up  Area,19-Mar,3 BHK,Bhe 2ko,1411,3.0,1.0,93.15,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Vatlede,1400,2.0,2.0,57.5,Swargate
Super built-up  Area,Ready To Move,3 BHK,Deiveer,1250,3.0,2.0,29.0,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1245,2.0,3.0,62.0,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,GRhtiru,1115,2.0,1.0,50.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,DSestil,1000,2.0,1.0,35.0,Wadgaon Sheri
Super built-up  Area,18-Mar,3 BHK,EcEONfe,1565 - 1595,3.0,0.0,71.89,Viman Nagar
Super built-up  Area,Ready To Move,3 BHK,Chllsev,1800,3.0,2.0,90.0,Vishrant Wadi
Super built-up  Area,Ready To Move,2 BHK,CSncele,1500,2.0,2.0,130.0,Wagholi
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1.0,1.0,16.45,Wakadewadi
Super built-up  Area,18-Jun,3 BHK,GrrvaGr,1275,3.0,2.0,44.0,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,Esree8 ,1494,3.0,2.0,82.0,Warje
Super built-up  Area,Ready To Move,3 BHK,Prsun S,1949,3.0,2.0,129.0,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Krberl ,1020,2.0,1.0,46.5,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,PrawnRa,883,2.0,1.0,45.0,Ambegaon Budruk
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,3200,4.0,2.0,225.0,Anandnagar
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1680,4.5,1.0,125.0,Aundh
Plot  Area,Ready To Move,12 Bedroom,GrrvaGr,2232,4.5,2.0,225.0,Aundh Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,2010,3.0,3.0,125.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,IBityin,1240,2.0,2.0,80.0,Baner
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1213,2.0,1.0,63.0,Baner road
Super built-up  Area,Ready To Move,3 BHK,Golmsn ,1835,3.0,3.0,88.0,Bhandarkar Road
Plot  Area,Ready To Move,9 Bedroom,GrrvaGr,1800,4.5,3.0,185.0,Bhavani Peth
Super built-up  Area,Ready To Move,4 BHK,Kobhiil,2932,4.5,2.0,195.0,Bibvewadi
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,3425,4.5,2.0,225.0,Bopodi
Built-up  Area,Ready To Move,2 BHK,Skvasa ,945,2.0,0.0,45.0,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,NChtsun,1504,2.0,2.0,100.0,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,RothaVa,1569,3.0,2.0,150.0,Camp
Super built-up  Area,Ready To Move,3 BHK,Prncyrn,1755,3.0,2.0,130.0,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,GoncyRe,1760,3.0,2.0,140.0,Dapodi
Super built-up  Area,18-May,2 BHK,GrrvaGr,1240,2.0,3.0,43.94,Deccan Gymkhana
Super built-up  Area,19-Dec,3 BHK,Shitt S,1450,3.0,2.0,72.54,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,Maodser,1000,2.0,0.0,48.0,Dhankawadi
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,3820,1.0,1.0,225.0,Dhayari Phata
Super built-up  Area,Ready To Move,5 BHK,GrrvaGr,2000,4.0,2.0,145.0,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,GRlpank,1215,2.0,2.0,59.0,Erandwane
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,24Guntha,4.5,2.0,225.0,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1330,3.0,3.0,73.5,Fergusson College Road
Super built-up  Area,18-Aug,2 BHK,Prllsan,1178,2.0,1.0,75.0,Ganesh Peth
Plot  Area,18-Aug,4 Bedroom,ValleCi,1500,4.0,3.0,192.0,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,Aaityi ,2040,2.0,2.0,59.0,Ghorpade Peth
Super built-up  Area,18-Mar,3 BHK,GrrvaGr,2000,3.0,2.0,85.0,Ghorpadi
Super built-up  Area,18-May,3 BHK,UbreeAn,1602,2.0,1.0,165.0,Gokhale Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,1.0,130.0,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,Peide L,1194,2.0,2.0,46.0,Guruwar peth
Built-up  Area,Ready To Move,3 BHK,Peace P,1800,3.0,1.0,220.0,Hadapsar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,2.0,1.0,152.0,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,3 BHK,Maantr ,1700,3.0,3.0,108.0,Hingne Khurd
Built-up  Area,Ready To Move,3 BHK,DLhtsan,1200,3.0,2.0,65.0,Jangali Maharaj Road
Plot  Area,Ready To Move,3 Bedroom,Thessie,1500,3.0,0.0,72.0,Kalyani Nagar
Plot  Area,Ready To Move,3 Bedroom,CoinoCu,1240,3.0,2.0,165.0,Karve Nagar
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,3000,3.0,2.0,225.0,Karve Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1737,3.0,3.0,85.0,Kasba Peth
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,900,2.0,0.0,55.0,Katraj
Built-up  Area,Ready To Move,3 BHK,Mawerer,1280,2.0,1.0,48.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,Chhalut,1560,2.0,2.0,85.0,Khadki
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,883,2.0,1.0,44.0,Kharadi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,750,2.0,1.0,33.0,Kondhwa
Super built-up  Area,Ready To Move,4 BHK,Gotaten,2400,3.0,3.0,140.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,NaaveEn,900,2.0,1.0,45.0,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1030,2.0,1.0,49.35,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,Brngsal,1850,3.0,2.0,155.0,Kothrud
Built-up  Area,Ready To Move,3 BHK,SaireSa,1831,3.0,1.0,110.0,Law College Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1095,2.0,1.0,38.33,Laxmi Road
Built-up  Area,18-Jul,3 BHK,Sryalan,1320,2.0,1.0,38.13,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,Shthi S,1270 - 1275,2.0,0.0,40.72,Mahatma Gandhi Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1000,2.0,1.0,61.0,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3.0,2.0,85.4,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,41.0,Market yard
Plot  Area,18-May,3 Bedroom,GrrvaGr,1500,3.0,0.0,83.0,Model colony
Super built-up  Area,Ready To Move,1 RK,GrrvaGr,360,1.0,0.0,16.9,Mukund Nagar
Super built-up  Area,Ready To Move,1 BHK,RatatHa,840 - 1010,1.0,0.0,40.7,Mundhawa
Super built-up  Area,21-Dec,2 BHK,KonteiT,1140,2.0,1.0,70.93,Nagar Road
Super built-up  Area,18-Oct,2 BHK,GrrvaGr,1145,2.0,2.0,58.4,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1862,3.0,3.0,120.0,Narayan Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,947,2.0,2.0,43.0,Narayangaon
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,697Sq. Meter,4.0,2.0,211.0,Navi Peth
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,700,3.0,2.0,195.0,Padmavati
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1120,2.0,2.0,40.0,Parvati Darshan
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,2700,3.0,3.0,200.0,Pashan
Super built-up  Area,Ready To Move,3 BHK,Matlelp,1805,2.0,2.0,75.0,Paud Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,3.0,93.0,Pirangut
Plot  Area,Ready To Move,4 Bedroom,Prana S,1355,3.0,0.0,135.0,Prabhat Road
Built-up  Area,18-Dec,3 BHK,GrrvaGr,1677,3.0,2.0,98.0,Pune Railway Station
Built-up  Area,Ready To Move,8 Bedroom,GrrvaGr,2500,4.5,3.0,95.0,Rasta Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1560,3.0,3.0,74.0,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,2060,3.0,2.0,150.0,Sadashiv Peth
Super built-up  Area,Ready To Move,3 BHK,KHage G,1716,2.0,0.0,115.0,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1864,3.0,1.0,140.0,Salunke Vihar
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,638,1.0,1.0,32.0,Sasson Road
Plot  Area,Ready To Move,9 Bedroom,GrrvaGr,1200,4.5,3.0,95.0,Satara Road
Super built-up  Area,Ready To Move,8 BHK,GrrvaGr,1150,4.5,2.0,170.0,Senapati Bapat Road
Super built-up  Area,18-Dec,2 BHK,AMAKS O,937,2.0,1.0,30.0,Shaniwar Peth
Built-up  Area,Ready To Move,3 BHK,PlhtsHe,1490,2.0,1.0,115.0,Shivaji Nagar
Super built-up  Area,Ready To Move,4 BHK,Meentan,4856,4.5,3.0,225.0,Shukrawar Peth
Plot  Area,Ready To Move,4 Bedroom,Chllea ,4003,4.5,1.0,225.0,Sinhagad Road
Super built-up  Area,17-May,2 BHK,SVineun,1100,2.0,1.0,37.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Saowsi ,1000,2.0,2.0,48.53,Swargate
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1060,2.0,1.0,37.0,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,Dieldli,1047,2.0,1.0,91.0,Uruli Devachi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,80.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1420,2.0,2.0,75.0,Wadgaon Sheri
Super built-up  Area,Ready To Move,3 BHK,CoLeoen,1539,3.0,2.0,85.0,Viman Nagar
Super built-up  Area,Ready To Move,3 BHK,Dhndsh ,1550,3.0,1.0,59.0,Vishrant Wadi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1555,3.0,3.0,82.0,Wagholi
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,600,4.5,2.0,138.0,Wakadewadi
Super built-up  Area,Ready To Move,3 BHK,Srandir,1553,3.0,3.0,68.0,Wanowrie
Super built-up  Area,Ready To Move,2 BHK,Rie 2ri,920,2.0,2.0,26.0,Warje
Super built-up  Area,Ready To Move,3 BHK,Lancysi,1740,3.0,3.0,120.0,Yerawada
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1855,3.0,2.0,145.0,Alandi Road
Super built-up  Area,18-Mar,3 BHK,Dieldli,1724,3.0,1.0,146.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Inentva,1020,2.0,2.0,60.0,Anandnagar
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1000,4.0,2.0,150.0,Aundh
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1250,2.0,1.0,50.0,Aundh Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1450,3.0,2.0,75.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,ShdhiSa,1200,2.0,2.0,80.0,Baner
Built-up  Area,Ready To Move,2 BHK,Siows M,1140,2.0,2.0,58.0,Baner road
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,900,4.5,2.0,110.0,Bhandarkar Road
Super built-up  Area,Ready To Move,1 BHK,SLionan,550,1.0,1.0,16.0,Bhavani Peth
Super built-up  Area,17-Oct,3 BHK,SNillin,1450,3.0,1.0,44.0,Bibvewadi
Plot  Area,Immediate Possession,2 BHK,S2enste,1500,2.0,2.0,25.49,Bopodi
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2.0,1.0,35.07,Budhwar Peth
Plot  Area,18-Jul,3 Bedroom,GrrvaGr,1200,3.0,1.0,56.0,Bund Garden Road
Super built-up  Area,Ready To Move,2 BHK,Apows M,1050,2.0,1.0,45.0,Camp
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1600,3.0,3.0,69.0,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1625,2.0,3.0,75.0,Dapodi
Super built-up  Area,Ready To Move,2 BHK,AszarAl,1492,2.0,2.0,65.0,Deccan Gymkhana
Super built-up  Area,18-Dec,4 BHK,Prtates,2830 - 2882,4.5,0.0,157.5,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,CoLeoen,1489,2.0,3.0,82.0,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1560,2.0,2.0,62.38,Dhayari Phata
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1140,2.0,2.0,42.0,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,Vanusn ,1431,3.0,2.0,65.0,Erandwane
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1682,3.0,1.0,114.0,Fatima Nagar
Super built-up  Area,18-Feb,2 BHK,Prcesvy,1198,2.0,1.0,86.26,Fergusson College Road
Plot  Area,18-May,3 Bedroom,PrstaTe,3664,3.0,2.0,225.0,Ganesh Peth
Super built-up  Area,Ready To Move,3 BHK,SJityaz,1550,2.0,2.0,69.75,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1026,2.0,1.0,45.0,Ghorpade Peth
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1260,2.0,2.0,52.0,Ghorpadi
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,690,2.0,0.0,42.0,Gokhale Nagar
Super built-up  Area,Ready To Move,1 BHK,Ahriaup,539,1.0,1.0,45.0,Gultekdi
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,1.0,85.0,Guruwar peth
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,3.0,3.0,120.0,Hadapsar
Super built-up  Area,Ready To Move,2 BHK,ShdhiSa,1200,2.0,2.0,79.55,Hadapsar Industrial Estate
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2500,4.5,2.0,225.0,Hingne Khurd
Super built-up  Area,Ready To Move,3 BHK,MJinele,1186,2.0,2.0,40.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,SLityee,1039,2.0,2.0,39.5,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1500,4.5,3.0,225.0,Karve Nagar
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1500,4.0,1.0,100.0,Karve Road
Super built-up  Area,Ready To Move,3 BHK,Maionra,2520,3.0,2.0,150.0,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,Roeekbl,1225,2.0,2.0,66.5,Katraj
Built-up  Area,Ready To Move,2 BHK,BlibuMa,1350,2.0,2.0,72.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,Pontspa,1030,2.0,2.0,225.0,Khadki
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1550,2.0,2.0,49.6,Kharadi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1490,3.0,2.0,79.0,Kondhwa
Super built-up  Area,Ready To Move,3 BHK,Mancy R,1520,3.0,2.0,111.0,Kondhwa Budruk
Plot  Area,Ready To Move,4 Bedroom,Adowslm,4100,4.0,2.0,225.0,Kondhwa Khurd
Built-up  Area,Ready To Move,3 BHK,Aliewe ,1391,2.0,3.0,64.5,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,Paentta,1200,2.0,2.0,50.0,Kothrud
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,86.0,Law College Road
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,2500,4.5,3.0,225.0,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1322,2.0,2.0,80.0,Lulla Nagar
Super built-up  Area,19-Dec,3 BHK,Goted U,2173,3.0,2.0,128.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,AbiewLa,1200,2.0,2.0,75.0,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,47.0,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1170,2.0,2.0,65.0,Market yard
Super built-up  Area,17-Dec,2 BHK,GrrvaGr,1125,2.0,2.0,45.56,Model colony
Super built-up  Area,18-May,1 BHK,Sabixtt,655 - 742,1.0,0.0,28.57,Mukund Nagar
Super built-up  Area,Ready To Move,2 BHK,ArierPr,1250,2.0,2.0,90.0,Mundhawa
Super built-up  Area,19-Dec,2 BHK,SuVue S,1025,2.0,2.0,27.68,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1075,2.0,2.0,36.0,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1900,2.0,2.0,190.0,Narayan Peth
Built-up  Area,Ready To Move,3 BHK,JahanSa,1435,3.0,2.0,45.0,Narayangaon
Super built-up  Area,18-Dec,2 BHK,Shitt S,1175,2.0,2.0,64.98,Navi Peth
